Word		Original_feature		Predicted_feature
Akara		any		any
ApakA		m		m
mana		m		m
barabasa		UNK		UNK
hI		UNK		UNK
sAikila		f		any
calAe		any		m
ka		UNK		UNK
bade		UNK		m
macala		any		m
padZI		m		m
.		UNK		UNK
i		any		UNK
nIxaralEMda		m		m
ka		f		UNK
rAjaXAnI		f		m
bA		any		any
.		UNK		UNK
i		any		UNK
xuniyA		f		m
ka		m		UNK
sabase		UNK		UNK
raMgIna		any		any
SaharoM		m		m
meM		UNK		UNK
SumAra		any		m
bA		any		m
.		UNK		UNK
ihAM		UNK		UNK
Apa		any		any
KUbasUrawa		any		any
myUjiyama		m		m
,		UNK		UNK
SAnaxAra		any		m
paba		m		UNK
,		UNK		UNK
_NULL_		UNK		any
acCe		m		m
reswrAz		m		m
ka		UNK		UNK
sAWa		m		m
-		UNK		UNK
sAWa		m		m
KUbasUrawa		any		any
PUloM		m		m
ka		m		UNK
mArketa		m		m
ka		m		UNK
jAyajA		m		m
le		m		m
sakelA		m		m
.		UNK		UNK
i		any		UNK
Sahara		m		m
kaI		UNK		UNK
KUbasUrawa		any		any
naharoM		f		m
se		UNK		UNK
judZala		m		m
bA		any		m
.		UNK		UNK
yaxi		UNK		UNK
Apa		any		any
ihAM		UNK		any
aelA		any		m
wa		UNK		UNK
krUja		m		m
meM		UNK		UNK
sEra		f		any
kare		any		m
na		UNK		UNK
BUliyA		any		m
.		UNK		UNK
i		any		UNK
KUbasUrawa		any		any
samA		m		m
meM		UNK		UNK
apane		m		m
sAWI		m		m
ka		UNK		UNK
sAWa		m		m
krUja		m		m
ka		f		UNK
sEra		f		any
eka		any		any
anoKA		m		m
anuBava		m		any
hoi		m		any
.		UNK		UNK
Pira		UNK		UNK
yaxi		UNK		UNK
nAita		f		m
meM		UNK		UNK
vAina		f		m
krUja		m		m
ka		m		UNK
luwPa		m		m
uTAyala		m		any
jAi		any		any
wa		UNK		UNK
kahanA		any		any
hI		UNK		UNK
kA		UNK		m
_NULL_		UNK		m
.		UNK		UNK
ihAM		UNK		any
samara		m		m
meM		UNK		UNK
kEnAla		f		m
hAusa		m		m
gArdana		m		m
Ama		any		any
logoM		m		m
ka		UNK		UNK
lie		UNK		UNK
Kola		m		m
xevala		m		any
jAlA		m		m
.		UNK		UNK
ihAM		UNK		UNK
ka		f		UNK
KUbasUrawI		f		m
Ora		UNK		UNK
hariyAlI		f		any
xeKawa		m		any
hI		UNK		UNK
banawa		f		any
lA		any		m
.		UNK		UNK
ihAM		UNK		any
yUropa		m		m
ka		m		UNK
sabase		UNK		UNK
purAnA		m		m
jU		m		any
'		UNK		UNK
Aratisa		m		m
jUra		m		m
'		UNK		UNK
bA		any		m
.		UNK		UNK
ihAM		UNK		UNK
Apa		any		any
raMgIna		any		any
pariMxoM		m		m
se		UNK		UNK
lekara		any		any
nirAle		m		m
vanya		any		any
jIva		m		m
ka		UNK		UNK
nihAra		m		m
sakelA		m		m
.		UNK		UNK
emstardama		m		m
ka		m		UNK
xaKina		m		m
meM		UNK		UNK
prasixXa		any		any
redalAita		m		m
ilAkA		m		m
bA		any		m
.		UNK		UNK
ihAM		UNK		any
seksa		m		m
SOYpsa		f		m
,		UNK		UNK
_NULL_		UNK		m
seksa		m		m
myUjiyama		m		m
se		UNK		UNK
lekara		any		any
aisana		m		m
bahuwa		UNK		UNK
kuCa		UNK		UNK
bA		any		UNK
,		UNK		UNK
jekara		f		any
kalpanA		f		m
BI		UNK		UNK
muSkila		any		any
bA		any		m
.		UNK		UNK
e		any		UNK
galiyA		f		m
meM		UNK		UNK
grAhakoM		m		m
ka		UNK		UNK
AkarRiwa		any		any
kare		any		m
ka		UNK		UNK
lie		UNK		UNK
seksa		m		m
viMdo		f		m
banalA		f		m
.		UNK		UNK
jahavA		UNK		m
yuvawiyAz		f		any
nirvaswra		any		m
KadZI		f		UNK
rahakara		any		any
grAhaka		m		m
ka		UNK		UNK
AkarRiwa		any		any
karanI		f		any
.		UNK		UNK
ihAM		any		any
KidZakiyoM		f		m
para		UNK		UNK
cAra		any		any
GaMte		m		m
KadZA		m		m
rahe		m		m
ka		m		UNK
evaja		m		m
meM		UNK		UNK
inheM		any		any
KAsA		m		m
tEksa		m		m
cukAe		m		m
padZalA		m		m
.		UNK		UNK
eke		any		any
sAWa		m		m
hI		UNK		UNK
ihAM		UNK		UNK
kaI		UNK		UNK
KUbasUrawa		any		any
myUjiyama		m		m
bA		any		UNK
,		UNK		UNK
jahavA		UNK		m
Apako		any		any
daca		any		m
iwihAsa		m		m
ka		f		UNK
acCI		f		UNK
jAnakArI		f		any
mila		any		m
jAi		f		any
.		UNK		UNK
i		any		UNK
Sahara		m		m
hOYlEMda		m		m
ka		m		UNK
xUsare		m		m
SaharoM		m		m
se		UNK		UNK
kuCa		UNK		UNK
alaga		any		any
bA		any		m
.		UNK		UNK
e		any		UNK
hAitEka		any		m
sitI		f		m
ka		UNK		UNK
nihAre		any		m
ka		UNK		UNK
bade		UNK		m
Apa		any		any
yUromArta		m		m
ka		f		UNK
maxaxa		f		m
le		m		any
sakelA		m		m
.		UNK		UNK
yUromArta		m		m
AXunika		any		any
liPta		f		m
bA		any		m
,		UNK		UNK
jeke		any		any
jarie		UNK		UNK
Apa		any		any
185		any		any
mItara		m		m
UzcAI		f		m
para		UNK		UNK
jAkara		any		any
rotaradEma		m		m
ka		m		UNK
pEronOYmika		any		any
vyU		m		any
xeKa		m		any
sakelA		m		m
.		UNK		UNK
ihAM		UNK		any
aneko		UNK		UNK
myUjiyama		m		m
bA		any		m
.		UNK		UNK
eme		any		m
se		UNK		UNK
merItAima		m		m
myUjiyama		m		m
kAPI		UNK		UNK
prasixGa		any		m
bA		any		m
.		UNK		UNK
merItAima		m		m
myUjiyama		m		m
meM		UNK		UNK
Apa		any		any
awIwa		m		any
ka		m		UNK
badZakA		m		m
-		UNK		UNK
badZakA		m		m
jahAja		m		m
xeKa		m		m
sakelA		m		m
.		UNK		UNK
i		any		UNK
myUjiyama		m		m
meM		UNK		UNK
samuxrI		any		any
yAwrAoM		f		m
se		UNK		UNK
judZI		f		any
kaI		UNK		UNK
yAxeM		f		any
saMBAlakara		any		any
raKala		f		any
gayala		f		m
bA		any		m
.		UNK		UNK
myUjiyama		m		m
nihAre		any		m
ka		UNK		UNK
sAWa		m		m
hI		UNK		UNK
spIdo		m		m
hArbara		m		m
tripa		m		m
ka		m		UNK
luwPa		m		m
le		any		m
nA		UNK		UNK
BUlihA		m		m
.		UNK		UNK
spIdo		m		m
ka		UNK		UNK
jarie		UNK		UNK
Apa		any		any
75		any		any
minita		m		m
meM		UNK		UNK
pUrA		m		m
rotaradEma		m		m
nihAra		m		m
sakelA		m		m
.		UNK		UNK
i		any		UNK
jagaha		f		m
ka		UNK		UNK
xeKakara		any		any
Apako		any		any
barabasa		UNK		UNK
'		UNK		UNK
silasilA		m		m
'		UNK		UNK
Pilma		f		m
ka		m		UNK
gAnA		m		m
'		UNK		UNK
xeKA		m		m
eka		any		any
KvAba		m		m
wo		UNK		UNK
silasile		m		m
hue...		m		any
'		UNK		UNK
ka		f		UNK
yAxa		f		m
A		any		any
jAi		f		any
.		UNK		UNK
vasaMwa		m		m
ka		m		UNK
mOsama		m		m
meM		UNK		UNK
xUra		m		m
waka		UNK		UNK
Kile		m		m
tyUlipa		m		m
ka		m		UNK
PUloM		m		m
ka		f		UNK
anupama		any		any
CatA		f		m
xeKawa		m		any
hI		UNK		UNK
banalA		f		m
.		UNK		UNK
eke		any		m
hOYlEMda		m		m
ka		m		UNK
gArdana		m		m
kahala		m		m
jAlA		m		m
.		UNK		UNK
yUz		UNK		any
BI		UNK		UNK
nIxaralEMda		m		m
xuniyA		f		m
ka		m		UNK
sabase		UNK		UNK
badZA		m		m
PUla		m		m
uwpAxaka		m		m
Ora		UNK		UNK
vikrewA		m		m
xeSa		m		m
bA		any		m
.		UNK		UNK
Apa		any		any
jaba		UNK		UNK
BI		UNK		UNK
ihAM		UNK		any
Aez		any		any
,		UNK		UNK
_NULL_		UNK		m
apane		m		m
hamasaPara		m		m
ka		UNK		UNK
lie		UNK		UNK
tyUlipa		m		m
ka		m		UNK
upahAra		m		m
KZarIxe		any		m
na		UNK		UNK
BUlihA		any		m
.		UNK		UNK
yaxi		UNK		UNK
Apa		any		any
i		any		UNK
ukwi		f		m
para		UNK		UNK
viSvAsa		m		m
karelA		m		m
wa		UNK		UNK
kostara		m		m
dAyamaMda		m		m
ka		m		UNK
cakkara		m		any
jarUra		UNK		any
lagAiegA		m		m
.		UNK		UNK
ihAM		UNK		UNK
anagaDZa		any		any
hIroM		m		m
ka		UNK		UNK
behaxa		any		m
KUbasUrawI		f		m
ka		UNK		UNK
sAWa		m		m
warASA		m		m
jAlA		m		m
.		UNK		UNK
bAzXavagaDZa		m		m
ka		UNK		UNK
aMxara		m		m
banala		m		m
prAcIna		any		m
kilA		m		m
BI		UNK		UNK
xeKe		any		m
yogya		any		m
bA		any		m
.		UNK		UNK
purAwawva		m		m
vewwAoM		m		m
ka		UNK		UNK
anusAra		UNK		UNK
i		any		UNK
kilA		m		m
lagaBaga		UNK		UNK
2000		any		any
sAla		m		m
purAnA		m		m
bA		any		m
.		UNK		UNK
i		any		UNK
kilA		m		m
ka		m		UNK
ulleKa		m		m
Siva		m		m
purANa		m		m
se		UNK		UNK
lekara		UNK		any
nAraxa		m		m
paMca		m		m
rawnA		m		m
waka		UNK		UNK
meM		UNK		UNK
AvalA		m		m
.		UNK		UNK
kilA		m		m
ka		UNK		UNK
Upara		m		m
kaI		UNK		UNK
saxiyoM		f		m
waka		UNK		UNK
alaga		any		any
-		UNK		UNK
alaga		any		any
rAjaGarAnA		m		any
rAja		m		m
kainA		m		m
.		UNK		UNK
jinameM		any		any
se		UNK		UNK
magaXa		m		any
,		UNK		UNK
kalcurI		m		m
Ora		UNK		UNK
vikramAxiwya		m		m
siMGa		m		m
ka		m		UNK
rAjaGarAne		m		any
pramuKa		any		m
bA		any		m
.		UNK		UNK
Aja		m		m
kilA		m		m
ka		m		UNK
BagnAvaSeRa		m		any
svarUpa		m		m
hI		UNK		UNK
SeRa		any		any
bA		any		m
.		UNK		UNK
lekina		UNK		UNK
ihAM		UNK		UNK
ka		f		UNK
purAnI		f		any
xIvAroM		f		m
meM		UNK		UNK
iwihAsa		m		m
ka		m		UNK
kaI		UNK		UNK
rAja		m		m
kExa		f		m
bA		any		m
.		UNK		UNK
kaba		UNK		UNK
jAi		any		any
?		UNK		UNK
bAzXavagaDZa		m		m
jAe		any		any
ka		m		UNK
sahI		any		any
mOsama		m		m
ParavarI		f		m
se		UNK		UNK
jUna		m		m
mAha		m		m
waka		UNK		UNK
bA		any		m
.		UNK		UNK
vEse		UNK		UNK
TaMda		f		m
ka		m		UNK
xina		m		m
meM		UNK		UNK
vAilda		any		m
lAiPa		f		m
jyAxA		UNK		UNK
KUbasUrawa		any		any
lagalA		f		m
.		UNK		UNK
mAnasUna		m		m
ka		m		UNK
kAraNa		m		m
pArka		m		m
ka		UNK		UNK
1		any		any
julAI		f		m
se		UNK		UNK
30		any		any
siwaMbara		m		m
waka		UNK		UNK
baMxa		any		any
kara		m		any
xevala		m		any
gaila		m		m
.		UNK		UNK
kEse		UNK		UNK
jAi		any		any
?		UNK		UNK
Apa		any		any
plena		m		m
,		UNK		UNK
rela		f		m
yA		UNK		UNK
sadZaka		f		m
mArga		m		m
,		UNK		UNK
jisase		any		any
cAhe		UNK		m
jA		m		any
sakelA		m		m
.		UNK		UNK
ihAM		UNK		any
ka		m		UNK
sabase		UNK		UNK
najaxIkI		any		any
eyaraporta		m		m
jabalapura		m		m
.		UNK		UNK
lekina		any		UNK
Apa		m		any
KajurAho		UNK		m
yA		f		UNK
xillI		UNK		m
se		UNK		UNK
ihAM		UNK		any
ka		UNK		UNK
lie		f		UNK
sIXI		f		m
PlAita		m		m
le		m		any
sakelA		UNK		m
.		any		UNK
ekare		UNK		any
alAvA		any		UNK
Apa		f		any
katanI		UNK		m
,		m		UNK
sawanA		UNK		m
,		m		UNK
jabalapura		UNK		m
yA		m		UNK
xeSa		m		m
ka		any		UNK
kisI		UNK		any
BI		m		UNK
hissA		UNK		m
se		UNK		UNK
ihAM		UNK		any
ka		UNK		UNK
lie		f		UNK
rela		UNK		m
yA		f		UNK
basa		f		m
suviXA		m		m
le		m		any
sakelA		UNK		m
.		UNK		UNK
kahAz		any		UNK
TaharI		UNK		any
?		UNK		UNK
ihAM		m		any
POYresta		m		m
ka		m		UNK
hotala		UNK		m
meM		any		UNK
xo		UNK		any
se		any		UNK
wIna		any		any
hajAra		m		any
rupae		UNK		m
meM		any		UNK
baDZiyA		any		m
eyarakUlda		UNK		m
Ora		any		UNK
esI		m		any
rUma		any		m
upalabXa		any		any
bA		UNK		m
.		m		UNK
jaMgala		UNK		m
ka		m		UNK
bIcoMbIca		m		m
bane		any		m
i		any		UNK
KUbasUrawa		m		any
britiSa		any		m
kAlIna		m		any
Bavano		UNK		m
meM		any		UNK
rahe		any		m
eka		any		any
alaga		m		any
anuBava		any		m
bA		UNK		m
.		UNK		UNK
lekina		UNK		UNK
yaxi		any		UNK
ApakA		m		m
bajata		UNK		m
kama		any		UNK
bA		UNK		UNK
wa		m		UNK
jaMgala		UNK		m
ka		m		UNK
bAhara		m		m
saswe		m		m
hotala		UNK		m
Ora		f		UNK
XarmaSAlAez		UNK		any
BI		any		UNK
bA		UNK		UNK
.		UNK		UNK
ihAM		any		UNK
Apa		any		any
pAzca		any		any
hajAra		UNK		any
se		UNK		UNK
lekara		any		any
bIsa		any		m
hajAra		m		any
rupae		UNK		m
meM		f		UNK
acCI		f		UNK
CuttiyAz		m		m
biwA		m		m
sakalA		UNK		m
.		m		UNK
ihe		f		any
vajaha		any		m
bA		UNK		UNK
ki		m		UNK
jEsalamera		UNK		m
ka		any		UNK
goldana		f		m
sitI		m		m
ka		m		UNK
nAma		UNK		m
se		UNK		UNK
BI		m		UNK
jAnala		m		any
jAlA		any		m
hE		UNK		any
.		m		UNK
Sahara		m		m
iwanA		m		m
CotA		m		m
kRewra		UNK		m
meM		m		UNK
Pailala		any		m
bA		UNK		UNK
ki		m		UNK
sElAnI		UNK		any
ihAM		any		any
pExala		m		any
GUmawe		m		m
hue		f		m
maruBUmi		m		m
ka		any		UNK
i		m		UNK
sunaharA		m		m
mukuta		UNK		m
ka		m		UNK
nihAra		m		m
sakelA		UNK		m
.		m		UNK
mAnala		m		m
jAlA		UNK		m
ki		m		UNK
jEsalamera		f		m
ka		f		UNK
sWApanA		any		m
BAtI		m		m
rAjapUwa		UNK		any
,		m		UNK
rAva		m		m
jEsala		f		m
12vIM		f		m
SawAbxI		UNK		m
meM		f		UNK
kainA		UNK		m
.		m		UNK
iwihAsa		f		m
ka		f		UNK
xqRti		UNK		m
se		any		UNK
xeKA		UNK		m
wa		m		UNK
jEsalamera		m		m
Sahara		UNK		m
para		m		UNK
KilajI		UNK		m
,		m		UNK
rATOra		UNK		m
,		m		UNK
mugala		UNK		m
,		UNK		UNK
_NULL_		m		m
wugalaka		UNK		m
Axi		UNK		UNK
ne		UNK		UNK
kaI		f		UNK
bAra		m		m
AkramaNa		m		m
kiyA		UNK		m
.		any		UNK
ekarA		UNK		m
bAvajUxa		m		UNK
jEsalamera		m		m
ka		any		UNK
SAhI		m		any
Bavana		m		m
rAjapUwa		f		any
SElI		m		any
ka		m		UNK
saccA		m		m
xyowaka		any		m
bA		UNK		m
.		m		UNK
skOYtalEMda		m		m
ka		any		UNK
KUbasUrawa		m		any
kilA		UNK		m
ka		f		UNK
mAwa		m		m
xewa		any		any
i		m		UNK
kilA		m		m
ka		m		UNK
nirmANa		m		m
BAtI		m		m
vaMSa		m		m
ka		m		UNK
rANA		m		m
jEsala		any		m
1156		UNK		any
meM		m		UNK
kainA		UNK		m
.		m		UNK
baluA		m		m
pawWara		UNK		m
se		m		UNK
banala		any		any
i		any		UNK
Bavya		m		any
kilA		UNK		m
meM		any		UNK
99		m		any
burja		m		m
banala		any		m
bA		UNK		any
.		m		UNK
kilA		m		m
ka		any		UNK
cAra		m		any
praveSa		m		m
xvAra		any		m
bA		UNK		UNK
,		any		UNK
jeke		m		m
gaNeSa		m		m
pola		UNK		m
,		m		UNK
sUraja		m		m
pola		UNK		m
,		m		UNK
BUwa		m		any
pola		UNK		m
Aura		f		m
havA		f		any
pola		m		m
ka		m		UNK
nAma		UNK		m
se		m		UNK
jAnala		m		any
jAlA		UNK		m
.		any		UNK
i		m		UNK
kilA		any		m
rAjapUwI		m		any
sWApawya		f		m
kalA		m		m
ka		any		UNK
bejodZa		m		any
namUnA		any		m
bA		UNK		m
.		m		UNK
purAne		m		m
samaya		m		m
ka		any		UNK
KUbasUrawa		UNK		any
Aura		m		m
badZe		m		m
Bavana		UNK		m
ka		f		UNK
haveliyoM		m		m
ka		m		UNK
nAma		UNK		m
se		m		UNK
pahacAnala		m		m
jAlA		UNK		m
.		m		UNK
jEsalamera		UNK		m
meM		f		UNK
aisana		UNK		m
kaI		f		UNK
haveliyAz		any		m
bA		UNK		m
.		any		UNK
inameM		UNK		any
se		any		UNK
kuCa		any		UNK
200		m		any
sAloM		UNK		m
se		UNK		UNK
jyAxA		f		UNK
purAnA		any		m
bA		UNK		UNK
,		UNK		UNK
lekina		f		UNK
iwanA		f		m
purAnA		any		m
hoe		UNK		m
ka		m		UNK
bAxa		UNK		m
BI		f		UNK
ekara		f		any
camaka		any		any
xeKala		UNK		any
lAyaka		any		m
bA		UNK		m
.		m		UNK
uwwara		m		m
praxeSa		UNK		m
meM		any		UNK
GarelU		UNK		m
va(aura)		any		m
vixeSI		m		any
paryatakoM		f		m
kI(ke)		f		m
saMKyA		UNK		m
meM		UNK		UNK
ke		m		UNK
bAvajUxa		f		UNK
rAjya		m		m
sarakAra		f		m
paryatana		UNK		m
yojanAvana		UNK		m
ke		any		UNK
prawi		UNK		UNK
gaMBIra		UNK		any
nahIM(naiKe)		any		m
.		m		UNK
keMxrIya		m		any
paryatana		m		m
maMwrAlaya		any		m
kA		any		m
mAnala		UNK		any
ha		m		any
ki		UNK		UNK
rAjya		m		m
meM		f		UNK
paryatana		UNK		m
ke		f		m
kAPI		any		UNK
saMBAvanA		UNK		m
bA		m		m
.		f		UNK
jagahana		any		m
ke		any		m
pahacAna		any		m
kara		any		any
unake		UNK		m
vikasiwa		m		any
kare		any		m
KAwira		f		UNK
keMxra		UNK		m
ArWika		any		any
sahAyawA		UNK		m
BI		any		UNK
xeve		any		m
KAwira		UNK		UNK
wEyAra		UNK		any
bA		f		m
.		UNK		UNK
lekina		UNK		UNK
koSiSana		m		m
ke		f		UNK
bAvajUxa		f		UNK
rAjya		f		m
sarakAra		UNK		m
ke		any		m
waraPa		UNK		UNK
se		UNK		UNK
eha		any		m
bAre		m		UNK
meM		any		UNK
kOno		UNK		UNK
praswAva		m		m
prApwa		any		any
nAhIM		UNK		UNK
Baila		m		m
ha		UNK		any
.		UNK		UNK
AMkadoM		UNK		m
ke		m		UNK
muwAbika		m		UNK
,		UNK		UNK
varRa		m		m
2002		UNK		any
meM		any		UNK
rAjya		m		m
meM		any		UNK
Aye		m		m
vAlana		f		m
vixeSI		f		any
paryatakana		any		m
ke		any		m
saMKyA		f		m
sAwa		UNK		any
lAKa		any		any
rahe		m		m
.		UNK		UNK
u		any		any
2004		any		any
meM		any		UNK
baDZakara		UNK		any
nava		any		m
lAKa		f		any
waka		UNK		UNK
jA		any		any
pahuMcI		UNK		m
.		m		UNK
ekare		f		m
bAvajUxa		any		UNK
rAjya		m		m
sarakAra		UNK		m
ye		any		any
mAmalA		any		m
ke		UNK		m
lekara		UNK		any
gaMBIra		m		any
naiKe		m		m
.		UNK		UNK
paryatana		UNK		m
maMwrAlaya		UNK		m
ka		any		UNK
muwAbika		m		UNK
,		m		UNK
cAlU		UNK		m
viwwa		m		m
barasa		UNK		m
meM		m		UNK
laKanaU		UNK		m
-		m		UNK
xuXavA		m		m
-		m		UNK
kataranIGAta		UNK		m
paryatana		UNK		m
sarkita		UNK		m
ka		any		UNK
alAvA		m		UNK
kaI		m		UNK
anya		m		any
sWalana		UNK		m
ke		any		m
vikAsa		f		m
KAwira		any		UNK
viwwIya		m		any
sahAyawA		m		m
xeve		m		m
ka		m		UNK
PEsalA		any		m
kaila		UNK		m
gaila		m		any
ha		UNK		any
.		any		UNK
rAjya		m		m
meM		f		UNK
XArmika		f		any
paryatana		UNK		m
ke		m		m
saMBAvanana		UNK		m
ke		UNK		UNK
xeKawe		f		m
BI		any		UNK
kewanA		UNK		m
yojanA		UNK		m
ha		m		any
.		f		UNK
para		UNK		UNK
rAjya		UNK		m
sarakAra		any		m
aba		UNK		UNK
waka		UNK		UNK
ekarA		any		m
bAre		m		UNK
meM		UNK		UNK
kOno		m		UNK
praswAva		any		m
nAhIM		UNK		UNK
Bejala		any		m
ha		m		any
.		m		UNK
keMxrIya		f		any
paryatana		f		m
rAjya		f		m
maMwrI		UNK		m
reNukA		UNK		m
cOXarI		UNK		m
ka		m		UNK
muwAbika		m		UNK
,		m		UNK
paryatana		f		m
ka		any		UNK
vikAsa		f		m
ke		m		m
muKya		f		any
jimmexArI		f		any
rAjya		any		m
sarakAra		UNK		m
ke		UNK		m
hE		m		any
.		m		UNK
lekina		f		UNK
keMxra		UNK		m
rAjya		f		m
sarakAra		UNK		m
se		m		UNK
salAha		any		m
-		any		UNK
maSavirA		m		m
kara		m		any
unake		m		m
paryatana		m		m
sWalana		UNK		m
ke		any		m
vikAsa		f		m
KAwira		any		UNK
ArWika		any		any
sahAyawA		UNK		m
muhEyA		any		m
karAye		any		any
KAwira		UNK		UNK
wEyAra		m		any
ha		UNK		any
.		any		UNK
rAjya		UNK		m
meM		any		UNK
GarelU		m		m
aura		f		any
vixeSI		f		any
paryatakoM		UNK		m
ke		UNK		m
saMKyA		m		m
meM		m		UNK
lagAwAra		m		UNK
ijAPA		any		m
ho		UNK		any
rahala		any		any
ha		m		any
.		any		UNK
keMxrIya		m		any
maMwrAlaya		UNK		m
i		any		UNK
ijAPA		UNK		m
ke		any		m
lekara		UNK		any
kAPI		m		UNK
uwsAhiwa		m		any
.		any		UNK
gAMva		m		m
moraKedZI		m		m
ka		UNK		UNK
rAjakIya		any		any
prAimarI		m		m
skUla		any		m
se		any		UNK
xu		any		m
juvaka		m		m
eka		m		any
Caha		m		any
varRIya		any		any
baccA		any		m
ka		m		UNK
apaharana		UNK		m
kara		f		any
le		f		m
gailana		f		m
.		any		UNK
pulisa		UNK		m
ASaMkA		m		m
