Word		Original_feature		Predicted_feature
_NULL_		UNK		UNK
Ehikelie		UNK		UNK
xUriyAz		3		3
BI		UNK		UNK
kama		UNK		UNK
ha		3		3
.		UNK		UNK
Apa		2h		1
pEMwisa		UNK		3
se		UNK		UNK
pEMwAlisa		UNK		3
kilomItara		3		3
ka		UNK		UNK
xAyarA		3		3
meM		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
rAjaXAnI		3		3
emstardama		3		3
ka		UNK		UNK
nihAra		2h		3
sakawa		2h		3
ha		2h		3
.		UNK		UNK
Pira		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
Abo		3		3
-		UNK		UNK
havA		3		3
kA		UNK		UNK
kahanA		any		any
hI		UNK		UNK
kA		UNK		UNK
_NULL_		UNK		3
.		UNK		UNK
ihAM		UNK		1
Akara		any		any
ApakA		2h		3
mana		3		3
barabasa		UNK		UNK
hI		UNK		UNK
sAikila		3		UNK
calAe		any		any
ka		UNK		UNK
bade		UNK		3
macala		3		3
padZI		3		any
.		UNK		UNK
i		3		UNK
nIxaralEMda		3		3
ka		UNK		UNK
rAjaXAnI		3		3
bA		3		3
.		UNK		UNK
i		3		UNK
xuniyA		3		3
ka		UNK		UNK
sabase		UNK		UNK
raMgIna		UNK		UNK
SaharoM		3		3
meM		UNK		UNK
SumAra		UNK		3
bA		3		3
.		UNK		UNK
ihAM		UNK		1
Apa		2h		1
KUbasUrawa		UNK		UNK
myUjiyama		3		3
,		UNK		UNK
SAnaxAra		UNK		3
paba		3		UNK
,		UNK		UNK
_NULL_		UNK		UNK
acCe		UNK		UNK
reswrAz		3		3
ka		UNK		UNK
sAWa		3		3
-		UNK		UNK
sAWa		3		3
KUbasUrawa		UNK		UNK
PUloM		3		3
ka		UNK		UNK
mArketa		3		3
ka		UNK		UNK
jAyajA		3		3
le		2h		any
sakelA		2h		any
.		UNK		UNK
i		3		UNK
Sahara		3		3
kaI		UNK		UNK
KUbasUrawa		UNK		UNK
naharoM		3		3
se		UNK		UNK
judZala		3		any
bA		3		3
.		UNK		UNK
yaxi		UNK		UNK
Apa		2h		1
ihAM		UNK		1
aelA		2h		3
wa		UNK		UNK
krUja		3		3
meM		UNK		UNK
sEra		3		3
kare		any		3
na		UNK		UNK
BUliyA		2h		any
.		UNK		UNK
i		3		UNK
KUbasUrawa		UNK		UNK
samA		3		3
meM		UNK		UNK
apane		any		any
sAWI		3		3
ka		UNK		UNK
sAWa		3		3
krUja		3		3
ka		UNK		UNK
sEra		3		3
eka		UNK		UNK
anoKA		UNK		3
anuBava		3		UNK
hoi		3		1
.		UNK		UNK
Pira		UNK		UNK
yaxi		UNK		UNK
nAita		3		3
meM		UNK		UNK
vAina		3		3
krUja		3		3
ka		UNK		UNK
luwPa		3		3
uTAyala		3		3
jAi		3		3
wa		UNK		UNK
kahanA		any		any
hI		UNK		UNK
kA		UNK		UNK
_NULL_		UNK		3
.		UNK		UNK
ihAM		UNK		3
samara		3		3
meM		UNK		UNK
kEnAla		3		3
hAusa		3		3
gArdana		3		3
Ama		UNK		UNK
logoM		3		3
ka		UNK		UNK
lie		UNK		UNK
Kola		3		3
xevala		any		3
jAlA		any		any
.		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
KUbasUrawI		3		3
Ora		UNK		UNK
hariyAlI		3		3
xeKawa		any		3
hI		UNK		UNK
banawa		3		3
lA		3		any
.		UNK		UNK
ihAM		UNK		1
yUropa		3		3
ka		UNK		UNK
sabase		UNK		UNK
purAnA		UNK		3
jU		3		3
'		UNK		UNK
Aratisa		3		3
jUra		3		3
'		UNK		UNK
bA		3		3
.		UNK		UNK
ihAM		UNK		UNK
Apa		2h		1
raMgIna		UNK		UNK
pariMxoM		3		3
se		UNK		UNK
lekara		any		any
nirAle		UNK		UNK
vanya		UNK		3
jIva		3		3
ka		UNK		UNK
nihAra		2h		3
sakelA		2h		any
.		UNK		UNK
emstardama		3		3
ka		UNK		UNK
xaKina		3		3
meM		UNK		UNK
prasixXa		UNK		UNK
redalAita		3		3
ilAkA		3		any
bA		3		3
.		UNK		UNK
ihAM		UNK		3
seksa		3		3
SOYpsa		3		3
,		UNK		UNK
_NULL_		UNK		UNK
seksa		3		3
myUjiyama		3		3
se		UNK		UNK
lekara		any		any
aisana		any		3
bahuwa		UNK		UNK
kuCa		UNK		UNK
bA		3		UNK
,		UNK		UNK
jekara		3		any
kalpanA		3		3
BI		UNK		UNK
muSkila		UNK		3
bA		3		3
.		UNK		UNK
e		3		UNK
galiyA		3		3
meM		UNK		UNK
grAhakoM		3		3
ka		UNK		UNK
AkarRiwa		UNK		UNK
kare		any		any
ka		UNK		UNK
lie		UNK		UNK
seksa		3		3
viMdo		3		3
banalA		3		any
.		UNK		UNK
jahavA		UNK		UNK
yuvawiyAz		3		3
nirvaswra		UNK		3
KadZI		UNK		UNK
rahakara		any		any
grAhaka		3		3
ka		UNK		UNK
AkarRiwa		UNK		UNK
karanI		3		any
.		UNK		UNK
ihAM		3		1
KidZakiyoM		3		3
para		UNK		UNK
cAra		UNK		UNK
GaMte		3		3
KadZA		UNK		3
rahe		any		any
ka		UNK		UNK
evaja		UNK		3
meM		UNK		UNK
inheM		3		3h
KAsA		UNK		3
tEksa		3		3
cukAe		3		any
padZalA		any		any
.		UNK		UNK
eke		3		UNK
sAWa		3		3
hI		UNK		UNK
ihAM		UNK		1
kaI		UNK		UNK
KUbasUrawa		UNK		UNK
myUjiyama		3		3
bA		3		UNK
,		UNK		UNK
jahavA		UNK		3
Apako		2h		3
daca		UNK		3
iwihAsa		3		3
ka		UNK		UNK
acCI		UNK		UNK
jAnakArI		3		3
mila		3		3
jAi		3		3
.		UNK		UNK
i		3		UNK
Sahara		3		3
hOYlEMda		3		3
ka		UNK		UNK
xUsare		UNK		UNK
SaharoM		3		3
se		UNK		UNK
kuCa		UNK		UNK
alaga		UNK		any
bA		3		3
.		UNK		UNK
e		3		UNK
hAitEka		UNK		3
sitI		3		3
ka		UNK		UNK
nihAre		any		3
ka		UNK		UNK
bade		UNK		3
Apa		2h		1
yUromArta		3		3
ka		UNK		UNK
maxaxa		3		3
le		2h		any
sakelA		2h		3
.		UNK		UNK
yUromArta		3		3
AXunika		UNK		UNK
liPta		3		3
bA		3		UNK
,		UNK		UNK
jeke		3		any
jarie		UNK		UNK
Apa		2h		1
185		UNK		UNK
mItara		3		3
UzcAI		3		3
para		UNK		UNK
jAkara		any		any
rotaradEma		3		3
ka		UNK		UNK
pEronOYmika		UNK		UNK
vyU		3		UNK
xeKa		2h		3
sakelA		2h		any
.		UNK		UNK
ihAM		UNK		1
aneko		UNK		3
myUjiyama		3		3
bA		3		3
.		UNK		UNK
eme		3		3
se		UNK		UNK
merItAima		3		3
myUjiyama		3		3
kAPI		UNK		UNK
prasixGa		UNK		3
bA		3		3
.		UNK		UNK
merItAima		3		3
myUjiyama		3		3
meM		UNK		UNK
Apa		2h		1
awIwa		3		3
ka		UNK		UNK
badZakA		UNK		3
-		UNK		UNK
badZakA		UNK		3
jahAja		3		3
xeKa		2h		any
sakelA		2h		3
.		UNK		UNK
i		3		UNK
myUjiyama		3		3
meM		UNK		UNK
samuxrI		UNK		UNK
yAwrAoM		3		3
se		UNK		UNK
judZI		any		any
kaI		UNK		UNK
yAxeM		3		3
saMBAlakara		any		any
raKala		3		UNK
gayala		any		3
bA		3		3
.		UNK		UNK
myUjiyama		3		3
nihAre		3		3
ka		UNK		UNK
sAWa		3		3
hI		UNK		UNK
spIdo		3		3
hArbara		3		3
tripa		3		3
ka		UNK		UNK
luwPa		3		3
le		any		any
nA		UNK		UNK
BUlihA		2h		any
.		UNK		UNK
spIdo		3		3
ka		UNK		UNK
jarie		UNK		UNK
Apa		2h		1
75		UNK		UNK
minita		3		3
meM		UNK		UNK
pUrA		UNK		UNK
rotaradEma		3		3
nihAra		2h		3
sakelA		2h		any
.		UNK		UNK
i		3		UNK
jagaha		3		3
ka		UNK		UNK
xeKakara		any		any
Apako		2h		3
barabasa		UNK		UNK
'		UNK		UNK
silasilA		3		3
'		UNK		UNK
Pilma		3		3
ka		UNK		UNK
gAnA		3		3
'		UNK		UNK
xeKA		any		any
eka		UNK		UNK
KvAba		3		3
wo		UNK		UNK
silasile		3		3
hue...		3		3
'		UNK		UNK
ka		UNK		UNK
yAxa		3		3
A		3		any
jAi		3		3
.		UNK		UNK
vasaMwa		3		3
ka		UNK		UNK
mOsama		3		3
meM		UNK		UNK
xUra		3		3
waka		UNK		UNK
Kile		any		any
tyUlipa		3		3
ka		UNK		UNK
PUloM		3		3
ka		UNK		UNK
anupama		UNK		UNK
CatA		3		3
xeKawa		any		UNK
hI		UNK		UNK
banalA		3		any
.		UNK		UNK
eke		3		UNK
hOYlEMda		3		3
ka		UNK		UNK
gArdana		3		3
kahala		3		any
jAlA		any		any
.		UNK		UNK
yUz		UNK		UNK
BI		UNK		UNK
nIxaralEMda		3		3
xuniyA		3		3
ka		UNK		UNK
sabase		UNK		UNK
badZA		UNK		UNK
PUla		3		3
uwpAxaka		3		3
Ora		UNK		UNK
vikrewA		3		3
xeSa		3		3
bA		3		3
.		UNK		UNK
Apa		2h		3
jaba		UNK		UNK
BI		UNK		UNK
ihAM		UNK		1
Aez		2h		3
,		UNK		UNK
_NULL_		UNK		UNK
apane		any		any
hamasaPara		3		3
ka		UNK		UNK
lie		UNK		UNK
tyUlipa		3		3
ka		UNK		UNK
upahAra		3		3
KZarIxe		any		3
na		UNK		UNK
BUlihA		2h		any
.		UNK		UNK
yaxi		UNK		UNK
Apa		2h		3
i		3		UNK
ukwi		3		3
para		UNK		UNK
viSvAsa		3		3
karelA		2h		3
wa		UNK		UNK
kostara		3		3
dAyamaMda		3		3
ka		UNK		UNK
cakkara		3		any
jarUra		UNK		UNK
lagAiegA		2h		3
.		UNK		UNK
ihAM		UNK		UNK
anagaDZa		UNK		UNK
hIroM		3		3
ka		UNK		UNK
behaxa		UNK		3
KUbasUrawI		3		3
ka		UNK		UNK
sAWa		3		3
warASA		3		3
jAlA		any		any
.		UNK		UNK
bAzXavagaDZa		3		3
ka		UNK		UNK
aMxara		3		3
banala		any		3
prAcIna		UNK		3
kilA		3		3
BI		UNK		UNK
xeKe		any		UNK
yogya		UNK		3
bA		3		3
.		UNK		UNK
purAwawva		3		3
vewwAoM		3		3
ka		UNK		UNK
anusAra		UNK		UNK
i		3		UNK
kilA		3		3
lagaBaga		UNK		UNK
2000		UNK		UNK
sAla		3		3
purAnA		UNK		3
bA		3		3
.		UNK		UNK
i		3		UNK
kilA		3		3
ka		UNK		UNK
ulleKa		3		3
Siva		3		3
purANa		3		3
se		UNK		UNK
lekara		UNK		any
nAraxa		3		3
paMca		3		3
rawnA		3		3
waka		UNK		UNK
meM		UNK		UNK
AvalA		3		any
.		UNK		UNK
kilA		3		3
ka		UNK		UNK
Upara		3		3
kaI		UNK		UNK
saxiyoM		3		3
waka		UNK		UNK
alaga		UNK		UNK
-		UNK		UNK
alaga		UNK		UNK
rAjaGarAnA		3		3
rAja		3		3
kainA		3		any
.		UNK		UNK
jinameM		3		3
se		UNK		UNK
magaXa		3		3
,		UNK		UNK
kalcurI		3		3
Ora		UNK		UNK
vikramAxiwya		3		3
siMGa		3		3
ka		UNK		UNK
rAjaGarAne		3		3
pramuKa		UNK		3
bA		3		3
.		UNK		UNK
Aja		3		3
kilA		3		3
ka		UNK		UNK
BagnAvaSeRa		3		UNK
svarUpa		3		3
hI		UNK		UNK
SeRa		UNK		3
bA		3		3
.		UNK		UNK
lekina		UNK		UNK
ihAM		UNK		UNK
ka		UNK		UNK
purAnI		UNK		UNK
xIvAroM		3		3
meM		UNK		UNK
iwihAsa		3		3
ka		UNK		UNK
kaI		UNK		UNK
rAja		3		3
kExa		3		3
bA		3		3
.		UNK		UNK
kaba		UNK		UNK
jAi		any		3
?		UNK		UNK
bAzXavagaDZa		3		3
jAe		any		any
ka		UNK		UNK
sahI		UNK		UNK
mOsama		3		3
ParavarI		3		3
se		UNK		UNK
jUna		3		3
mAha		3		3
waka		UNK		UNK
bA		3		3
.		UNK		UNK
vEse		UNK		UNK
TaMda		3		3
ka		UNK		UNK
xina		3		3
meM		UNK		UNK
vAilda		UNK		3
lAiPa		3		3
jyAxA		UNK		UNK
KUbasUrawa		UNK		UNK
lagalA		3		any
.		UNK		UNK
mAnasUna		3		3
ka		UNK		UNK
kAraNa		UNK		3
pArka		3		3
ka		UNK		UNK
1		3		3
julAI		3		3
se		UNK		UNK
30		3		3
siwaMbara		3		3
waka		UNK		UNK
baMxa		UNK		UNK
kara		3		any
xevala		any		3
gaila		any		any
.		UNK		UNK
kEse		UNK		UNK
jAi		any		3
?		UNK		UNK
Apa		2h		3
plena		3		3
,		UNK		UNK
rela		3		3
yA		UNK		UNK
sadZaka		3		3
mArga		3		3
,		UNK		UNK
jisase		3		3
cAhe		UNK		any
jA		2h		any
sakelA		2h		any
.		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
sabase		UNK		UNK
najaxIkI		UNK		UNK
eyaraporta		3		3
jabalapura		3		3
.		UNK		UNK
lekina		2h		UNK
Apa		3		1
KajurAho		UNK		3
yA		3		UNK
xillI		UNK		3
se		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
lie		UNK		UNK
sIXI		3		3
PlAita		2h		3
le		2h		3
sakelA		UNK		any
.		3		UNK
ekare		UNK		3
alAvA		2h		UNK
Apa		3		3
katanI		UNK		3
,		3		UNK
sawanA		UNK		3
,		3		UNK
jabalapura		UNK		3
yA		3		UNK
xeSa		UNK		3
ka		3		UNK
kisI		UNK		3
BI		3		UNK
hissA		UNK		3
se		UNK		UNK
ihAM		UNK		1
ka		UNK		UNK
lie		3		UNK
rela		UNK		3
yA		3		UNK
basa		3		3
suviXA		2h		3
le		2h		any
sakelA		UNK		3
.		UNK		UNK
kahAz		any		UNK
TaharI		UNK		any
?		UNK		UNK
ihAM		3		1
POYresta		UNK		3
ka		3		UNK
hotala		UNK		3
meM		UNK		UNK
xo		UNK		UNK
se		UNK		UNK
wIna		UNK		UNK
hajAra		3		UNK
rupae		UNK		3
meM		UNK		UNK
baDZiyA		UNK		3
eyarakUlda		UNK		3
Ora		UNK		UNK
esI		3		any
rUma		UNK		3
upalabXa		3		3
bA		UNK		3
.		3		UNK
jaMgala		UNK		3
ka		3		UNK
bIcoMbIca		any		3
bane		3		any
i		UNK		UNK
KUbasUrawa		3		UNK
britiSa		UNK		3
kAlIna		3		UNK
Bavano		UNK		3
meM		any		UNK
rahe		UNK		any
eka		UNK		UNK
alaga		3		UNK
anuBava		3		3
bA		UNK		3
.		UNK		UNK
lekina		UNK		UNK
yaxi		2h		UNK
ApakA		3		3
bajata		UNK		3
kama		2		UNK
bA		UNK		UNK
wa		3		UNK
jaMgala		UNK		3
ka		3		UNK
bAhara		UNK		3
saswe		3		3
hotala		UNK		3
Ora		3		UNK
XarmaSAlAez		UNK		3
BI		3		UNK
bA		UNK		3
.		UNK		UNK
ihAM		2h		1
Apa		UNK		1
pAzca		UNK		UNK
hajAra		UNK		UNK
se		UNK		UNK
lekara		UNK		any
bIsa		UNK		3
hajAra		3		UNK
rupae		UNK		3
meM		UNK		UNK
acCI		3		UNK
CuttiyAz		2h		3
biwA		2h		3
sakalA		UNK		any
.		3		UNK
ihe		3		3
vajaha		3		3
bA		UNK		UNK
ki		3		UNK
jEsalamera		UNK		3
ka		UNK		UNK
goldana		3		3
sitI		UNK		3
ka		3		UNK
nAma		UNK		3
se		UNK		UNK
BI		3		UNK
jAnala		any		3
jAlA		3		3
hE		UNK		3
.		3		UNK
Sahara		UNK		3
iwanA		UNK		UNK
CotA		3		3
kRewra		UNK		3
meM		3		UNK
Pailala		3		3
bA		UNK		UNK
ki		3		UNK
sElAnI		UNK		3
ihAM		UNK		1
pExala		any		3
GUmawe		any		any
hue		3		any
maruBUmi		UNK		3
ka		3		UNK
i		UNK		UNK
sunaharA		3		3
mukuta		UNK		3
ka		3		UNK
nihAra		any		3
sakelA		UNK		any
.		3		UNK
mAnala		any		3
jAlA		UNK		any
ki		3		UNK
jEsalamera		UNK		3
ka		3		UNK
sWApanA		UNK		3
BAtI		3		3
rAjapUwa		UNK		3
,		3		UNK
rAva		3		3
jEsala		UNK		3
12vIM		3		3
SawAbxI		UNK		3
meM		any		UNK
kainA		UNK		any
.		3		UNK
iwihAsa		UNK		3
ka		3		UNK
xqRti		UNK		3
se		any		UNK
xeKA		UNK		any
wa		3		UNK
jEsalamera		3		3
Sahara		UNK		3
para		3		UNK
KilajI		UNK		any
,		3		UNK
rATOra		UNK		3
,		3		UNK
mugala		UNK		3
,		UNK		UNK
_NULL_		3		UNK
wugalaka		UNK		3
Axi		UNK		UNK
ne		UNK		UNK
kaI		3		UNK
bAra		3		3
AkramaNa		any		3
kiyA		UNK		any
.		3		UNK
ekarA		UNK		3
bAvajUxa		3		UNK
jEsalamera		UNK		3
ka		UNK		UNK
SAhI		3		3
Bavana		3		3
rAjapUwa		3		3
SElI		UNK		3
ka		UNK		UNK
saccA		3		3
xyowaka		3		3
bA		UNK		3
.		3		UNK
skOYtalEMda		UNK		3
ka		UNK		UNK
KUbasUrawa		3		UNK
kilA		UNK		3
ka		3		UNK
mAwa		any		3
xewa		3		UNK
i		3		UNK
kilA		UNK		3
ka		3		UNK
nirmANa		3		3
BAtI		3		3
vaMSa		UNK		3
ka		3		UNK
rANA		3		3
jEsala		3		3
1156		UNK		3
meM		any		UNK
kainA		UNK		any
.		3		UNK
baluA		3		3
pawWara		UNK		3
se		any		UNK
banala		3		UNK
i		UNK		UNK
Bavya		3		UNK
kilA		UNK		3
meM		UNK		UNK
99		3		UNK
burja		3		3
banala		3		3
bA		UNK		3
.		3		UNK
kilA		UNK		3
ka		UNK		UNK
cAra		3		UNK
praveSa		3		3
xvAra		3		3
bA		UNK		UNK
,		3		UNK
jeke		3		any
gaNeSa		3		3
pola		UNK		3
,		3		UNK
sUraja		3		3
pola		UNK		3
,		3		UNK
BUwa		3		3
pola		UNK		3
Aura		3		3
havA		3		3
pola		UNK		3
ka		3		UNK
nAma		UNK		3
se		3		UNK
jAnala		any		3
jAlA		UNK		any
.		3		UNK
i		3		UNK
kilA		UNK		3
rAjapUwI		3		3
sWApawya		3		3
kalA		UNK		3
ka		UNK		UNK
bejodZa		3		3
namUnA		3		3
bA		UNK		3
.		UNK		UNK
purAne		3		UNK
samaya		UNK		3
ka		UNK		UNK
KUbasUrawa		UNK		UNK
Aura		UNK		3
badZe		3		UNK
Bavana		UNK		3
ka		3		UNK
haveliyoM		UNK		3
ka		3		UNK
nAma		UNK		3
se		any		UNK
pahacAnala		any		3
jAlA		UNK		any
.		3		UNK
jEsalamera		UNK		3
meM		3		UNK
aisana		UNK		3
kaI		3		UNK
haveliyAz		3		3
bA		UNK		any
.		3		UNK
inameM		UNK		3
se		3		UNK
kuCa		UNK		UNK
200		3		UNK
sAloM		UNK		3
se		UNK		UNK
jyAxA		UNK		UNK
purAnA		3		3
bA		UNK		UNK
,		UNK		UNK
lekina		UNK		UNK
iwanA		UNK		UNK
purAnA		3		3
hoe		UNK		3h
ka		3		UNK
bAxa		UNK		3
BI		3		UNK
ekara		3		any
camaka		any		UNK
xeKala		UNK		UNK
lAyaka		3		3
bA		UNK		3
.		3		UNK
uwwara		3		3
praxeSa		UNK		3
meM		UNK		UNK
GarelU		UNK		3
va(aura)		UNK		3
vixeSI		3		UNK
paryatakoM		UNK		3
kI(ke)		3		3
saMKyA		UNK		3
meM		UNK		UNK
ke		3		UNK
bAvajUxa		3		UNK
rAjya		3		3
sarakAra		3		3
paryatana		UNK		3
yojanAvana		UNK		3
ke		UNK		UNK
prawi		UNK		UNK
gaMBIra		UNK		UNK
nahIM(naiKe)		UNK		3
.		3		UNK
keMxrIya		3		UNK
paryatana		UNK		3
maMwrAlaya		any		3
kA		3		UNK
mAnala		UNK		3
ha		3		3
ki		UNK		UNK
rAjya		3		3
meM		UNK		UNK
paryatana		UNK		3
ke		3		UNK
kAPI		3		UNK
saMBAvanA		UNK		3
bA		3		3
.		UNK		UNK
jagahana		any		3
ke		3		UNK
pahacAna		UNK		3
kara		any		any
unake		UNK		3h
vikasiwa		3		UNK
kare		UNK		3
KAwira		3		UNK
keMxra		UNK		3
ArWika		any		UNK
sahAyawA		UNK		3
BI		UNK		UNK
xeve		3		3
KAwira		UNK		UNK
wEyAra		UNK		3
bA		3		3
.		UNK		UNK
lekina		UNK		UNK
koSiSana		3		3
ke		3		UNK
bAvajUxa		UNK		UNK
rAjya		3		3
sarakAra		UNK		3
ke		3		UNK
waraPa		UNK		UNK
se		UNK		UNK
eha		3		any
bAre		3		UNK
meM		UNK		UNK
kOno		UNK		UNK
praswAva		3		3
prApwa		3		UNK
nAhIM		UNK		UNK
Baila		3		any
ha		UNK		3
.		UNK		UNK
AMkadoM		UNK		3
ke		3		UNK
muwAbika		3		UNK
,		UNK		UNK
varRa		3		3
2002		UNK		3
meM		any		UNK
rAjya		UNK		3
meM		UNK		UNK
Aye		3		any
vAlana		UNK		3
vixeSI		3		UNK
paryatakana		UNK		3
ke		UNK		UNK
saMKyA		any		3
sAwa		UNK		UNK
lAKa		3		any
rahe		3		any
.		UNK		UNK
u		any		3
2004		UNK		3
meM		UNK		UNK
baDZakara		UNK		any
nava		3		3
lAKa		3		UNK
waka		UNK		UNK
jA		3		any
pahuMcI		UNK		any
.		3		UNK
ekare		3		3
bAvajUxa		3		UNK
rAjya		3		3
sarakAra		UNK		3
ye		any		3
mAmalA		UNK		3
ke		UNK		UNK
lekara		UNK		any
gaMBIra		3		UNK
naiKe		3		3
.		UNK		UNK
paryatana		UNK		3
maMwrAlaya		UNK		3
ka		UNK		UNK
muwAbika		3		UNK
,		3		UNK
cAlU		UNK		3
viwwa		3		3
barasa		UNK		3
meM		3		UNK
laKanaU		UNK		3
-		3		UNK
xuXavA		3		3
-		3		UNK
kataranIGAta		UNK		3
paryatana		UNK		3
sarkita		UNK		3
ka		UNK		UNK
alAvA		3		UNK
kaI		UNK		UNK
anya		3		UNK
sWalana		UNK		3
ke		UNK		UNK
vikAsa		3		3
KAwira		any		UNK
viwwIya		UNK		UNK
sahAyawA		3		3
xeve		3		3
ka		any		UNK
PEsalA		3		3
kaila		UNK		3
gaila		3		3
ha		UNK		3
.		UNK		UNK
rAjya		3		3
meM		UNK		UNK
XArmika		3		UNK
paryatana		UNK		3
ke		any		UNK
saMBAvanana		UNK		3
ke		UNK		UNK
xeKawe		3		any
BI		3		UNK
kewanA		UNK		3
yojanA		UNK		3
ha		3		3
.		3		UNK
para		UNK		UNK
rAjya		UNK		3
sarakAra		3		3
aba		UNK		UNK
waka		UNK		UNK
ekarA		3		any
bAre		3		UNK
meM		UNK		UNK
kOno		3		UNK
praswAva		3		3
nAhIM		UNK		UNK
Bejala		UNK		any
ha		3		3
.		3		UNK
keMxrIya		3		UNK
paryatana		3		3
rAjya		3		3
maMwrI		UNK		3
reNukA		UNK		3
cOXarI		UNK		3
ka		3		UNK
muwAbika		UNK		UNK
,		3		UNK
