Word		Original_feature		Predicted_feature
KAsa		any		any
bAwa		sg		sg
ihAM		UNK		sg
ke		pl		pl
logoM		pl		pl
ka		sg		UNK
sAikila		sg		sg
parema		sg		sg
ha		sg		any
.		UNK		UNK
vEse		UNK		UNK
BI		UNK		UNK
i		sg		UNK
xeSa		sg		sg
kAPI		UNK		UNK
CotA		sg		sg
ha		sg		any
,		UNK		UNK
_NULL_		UNK		sg
Ehikelie		UNK		UNK
xUriyAz		pl		pl
BI		UNK		UNK
kama		UNK		UNK
ha		pl		any
.		UNK		UNK
Apa		sg		sg
pEMwisa		any		sg
se		UNK		UNK
pEMwAlisa		any		sg
kilomItara		sg		sg
ka		sg		UNK
xAyarA		sg		sg
meM		UNK		UNK
ihAM		UNK		pl
ka		sg		UNK
rAjaXAnI		sg		sg
emstardama		sg		sg
ka		UNK		UNK
nihAra		sg		sg
sakawa		sg		sg
ha		sg		any
.		UNK		UNK
Pira		UNK		UNK
ihAM		UNK		pl
ka		sg		UNK
Abo		sg		sg
-		UNK		UNK
havA		sg		sg
kA		sg		sg
kahanA		any		any
hI		UNK		UNK
kA		UNK		sg
_NULL_		UNK		sg
.		UNK		UNK
ihAM		UNK		sg
Akara		any		any
ApakA		sg		sg
mana		sg		sg
barabasa		UNK		UNK
hI		UNK		UNK
sAikila		sg		any
calAe		any		sg
ka		UNK		UNK
bade		UNK		sg
macala		sg		sg
padZI		sg		sg
.		UNK		UNK
i		sg		UNK
nIxaralEMda		sg		sg
ka		sg		UNK
rAjaXAnI		sg		sg
bA		sg		sg
.		UNK		UNK
i		sg		UNK
xuniyA		sg		sg
ka		pl		UNK
sabase		UNK		UNK
raMgIna		any		any
SaharoM		pl		pl
meM		UNK		UNK
SumAra		any		sg
bA		sg		sg
.		UNK		UNK
ihAM		UNK		pl
Apa		sg		sg
KUbasUrawa		any		any
myUjiyama		sg		sg
,		UNK		UNK
SAnaxAra		any		sg
paba		sg		UNK
,		UNK		UNK
_NULL_		UNK		sg
acCe		sg		sg
reswrAz		sg		pl
ka		UNK		UNK
sAWa		sg		sg
-		UNK		UNK
sAWa		sg		sg
KUbasUrawa		any		any
PUloM		pl		pl
ka		sg		UNK
mArketa		sg		sg
ka		sg		UNK
jAyajA		sg		sg
le		sg		sg
sakelA		sg		sg
.		UNK		UNK
i		sg		UNK
Sahara		sg		sg
kaI		UNK		UNK
KUbasUrawa		any		any
naharoM		pl		pl
se		UNK		UNK
judZala		sg		sg
bA		sg		sg
.		UNK		UNK
yaxi		UNK		UNK
Apa		sg		sg
ihAM		UNK		pl
aelA		sg		sg
wa		UNK		UNK
krUja		sg		sg
meM		UNK		UNK
sEra		sg		sg
kare		any		pl
na		UNK		UNK
BUliyA		sg		sg
.		UNK		UNK
i		sg		UNK
KUbasUrawa		any		any
samA		sg		sg
meM		UNK		UNK
apane		any		any
sAWI		sg		sg
ka		UNK		UNK
sAWa		sg		sg
krUja		sg		sg
ka		sg		UNK
sEra		sg		sg
eka		any		any
anoKA		sg		sg
anuBava		sg		sg
hoi		sg		sg
.		UNK		UNK
Pira		UNK		UNK
yaxi		UNK		UNK
nAita		sg		sg
meM		UNK		UNK
vAina		sg		sg
krUja		sg		sg
ka		sg		UNK
luwPa		sg		sg
uTAyala		sg		sg
jAi		sg		sg
wa		UNK		UNK
kahanA		any		any
hI		UNK		UNK
kA		UNK		sg
_NULL_		UNK		sg
.		UNK		UNK
ihAM		UNK		sg
samara		sg		sg
meM		UNK		UNK
kEnAla		sg		sg
hAusa		sg		sg
gArdana		sg		sg
Ama		any		any
logoM		pl		pl
ka		UNK		UNK
lie		UNK		UNK
Kola		sg		sg
xevala		sg		sg
jAlA		sg		sg
.		UNK		UNK
ihAM		UNK		pl
ka		sg		UNK
KUbasUrawI		sg		sg
Ora		UNK		UNK
hariyAlI		sg		sg
xeKawa		sg		sg
hI		UNK		UNK
banawa		sg		sg
lA		sg		sg
.		UNK		UNK
ihAM		UNK		pl
yUropa		sg		sg
ka		sg		UNK
sabase		UNK		UNK
purAnA		sg		sg
jU		sg		sg
'		UNK		UNK
Aratisa		sg		sg
jUra		sg		sg
'		UNK		UNK
bA		sg		sg
.		UNK		UNK
ihAM		UNK		UNK
Apa		sg		sg
raMgIna		any		any
pariMxoM		pl		pl
se		UNK		UNK
lekara		any		any
nirAle		pl		pl
vanya		any		sg
jIva		pl		sg
ka		UNK		UNK
nihAra		sg		sg
sakelA		sg		sg
.		UNK		UNK
emstardama		sg		sg
ka		sg		UNK
xaKina		sg		sg
meM		UNK		UNK
prasixXa		any		any
redalAita		sg		sg
ilAkA		sg		sg
bA		sg		sg
.		UNK		UNK
ihAM		UNK		sg
seksa		sg		sg
SOYpsa		pl		sg
,		UNK		UNK
_NULL_		UNK		sg
seksa		sg		sg
myUjiyama		sg		sg
se		UNK		UNK
lekara		any		any
aisana		sg		sg
bahuwa		UNK		UNK
kuCa		UNK		UNK
bA		sg		sg
,		UNK		UNK
jekara		sg		any
kalpanA		sg		sg
BI		UNK		UNK
muSkila		any		sg
bA		sg		sg
.		UNK		UNK
e		pl		sg
galiyA		pl		sg
meM		UNK		UNK
grAhakoM		pl		pl
ka		UNK		UNK
AkarRiwa		any		any
kare		any		sg
ka		UNK		UNK
lie		UNK		UNK
seksa		sg		sg
viMdo		sg		sg
banalA		sg		sg
.		UNK		UNK
jahavA		UNK		sg
yuvawiyAz		pl		pl
nirvaswra		any		sg
KadZI		pl		sg
rahakara		any		any
grAhaka		pl		sg
ka		UNK		UNK
AkarRiwa		any		any
karanI		pl		sg
.		UNK		UNK
ihAM		pl		pl
KidZakiyoM		pl		pl
para		UNK		UNK
cAra		any		any
GaMte		pl		sg
KadZA		pl		sg
rahe		any		sg
ka		UNK		UNK
evaja		UNK		sg
meM		UNK		UNK
inheM		pl		sg
KAsA		sg		sg
tEksa		sg		sg
cukAe		sg		sg
padZalA		sg		sg
.		UNK		UNK
eke		sg		sg
sAWa		sg		sg
hI		UNK		UNK
ihAM		UNK		sg
kaI		UNK		UNK
KUbasUrawa		any		any
myUjiyama		pl		sg
bA		pl		sg
,		UNK		UNK
jahavA		UNK		sg
Apako		sg		sg
daca		any		sg
iwihAsa		sg		sg
ka		sg		UNK
acCI		sg		sg
jAnakArI		sg		sg
mila		sg		sg
jAi		sg		sg
.		UNK		UNK
i		sg		UNK
Sahara		sg		sg
hOYlEMda		sg		sg
ka		pl		UNK
xUsare		pl		sg
SaharoM		pl		pl
se		UNK		UNK
kuCa		UNK		UNK
alaga		any		sg
bA		sg		sg
.		UNK		UNK
e		sg		UNK
hAitEka		any		sg
sitI		sg		sg
ka		UNK		UNK
nihAre		any		sg
ka		UNK		UNK
bade		UNK		sg
Apa		sg		sg
yUromArta		sg		sg
ka		sg		UNK
maxaxa		sg		sg
le		sg		sg
sakelA		sg		sg
.		UNK		UNK
yUromArta		sg		sg
AXunika		any		any
liPta		sg		sg
bA		sg		sg
,		UNK		UNK
jeke		sg		sg
jarie		UNK		UNK
Apa		sg		sg
185		any		any
mItara		sg		sg
UzcAI		sg		sg
para		UNK		UNK
jAkara		any		any
rotaradEma		sg		sg
ka		sg		UNK
pEronOYmika		any		any
vyU		sg		sg
xeKa		sg		sg
sakelA		sg		sg
.		UNK		UNK
ihAM		UNK		pl
aneko		UNK		UNK
myUjiyama		pl		sg
bA		pl		sg
.		UNK		UNK
eme		pl		sg
se		UNK		UNK
merItAima		sg		sg
myUjiyama		sg		sg
kAPI		UNK		UNK
prasixGa		any		sg
bA		sg		sg
.		UNK		UNK
merItAima		sg		sg
myUjiyama		sg		sg
meM		UNK		UNK
Apa		sg		sg
awIwa		sg		sg
ka		pl		UNK
badZakA		pl		sg
-		UNK		UNK
badZakA		pl		sg
jahAja		pl		sg
xeKa		sg		sg
sakelA		sg		sg
.		UNK		UNK
i		sg		UNK
myUjiyama		sg		sg
meM		UNK		UNK
samuxrI		any		any
yAwrAoM		pl		pl
se		UNK		UNK
judZI		pl		sg
kaI		UNK		UNK
yAxeM		pl		pl
saMBAlakara		any		any
raKala		pl		any
gayala		pl		sg
bA		pl		sg
.		UNK		UNK
myUjiyama		sg		sg
nihAre		sg		sg
ka		UNK		UNK
sAWa		sg		sg
hI		UNK		UNK
spIdo		sg		sg
hArbara		sg		sg
tripa		sg		sg
ka		sg		UNK
luwPa		sg		sg
le		any		sg
nA		UNK		UNK
BUlihA		sg		sg
.		UNK		UNK
spIdo		sg		sg
ka		UNK		UNK
jarie		UNK		UNK
Apa		sg		sg
75		any		any
minita		sg		sg
meM		UNK		UNK
pUrA		sg		sg
rotaradEma		sg		sg
nihAra		sg		sg
sakelA		sg		sg
.		UNK		UNK
i		sg		UNK
jagaha		sg		sg
ka		UNK		UNK
xeKakara		any		any
Apako		sg		sg
barabasa		UNK		UNK
'		UNK		UNK
silasilA		sg		sg
'		UNK		UNK
Pilma		sg		sg
ka		sg		UNK
gAnA		sg		sg
'		UNK		UNK
xeKA		sg		sg
eka		any		any
KvAba		sg		sg
wo		UNK		UNK
silasile		pl		pl
hue...		pl		any
'		UNK		UNK
ka		sg		UNK
yAxa		sg		sg
A		sg		sg
jAi		sg		sg
.		UNK		UNK
vasaMwa		sg		sg
ka		sg		UNK
mOsama		sg		sg
meM		UNK		UNK
xUra		sg		sg
waka		UNK		UNK
Kile		pl		sg
tyUlipa		sg		sg
ka		pl		UNK
PUloM		pl		pl
ka		sg		UNK
anupama		any		any
CatA		sg		sg
xeKawa		sg		any
hI		UNK		UNK
banalA		sg		sg
.		UNK		UNK
eke		sg		sg
hOYlEMda		sg		sg
ka		sg		UNK
gArdana		sg		sg
kahala		sg		sg
jAlA		sg		sg
.		UNK		UNK
yUz		UNK		sg
BI		UNK		UNK
nIxaralEMda		sg		sg
xuniyA		sg		sg
ka		sg		UNK
sabase		UNK		UNK
badZA		sg		sg
PUla		sg		sg
uwpAxaka		sg		sg
Ora		UNK		UNK
vikrewA		sg		sg
xeSa		sg		sg
bA		sg		sg
.		UNK		UNK
Apa		sg		sg
jaba		UNK		UNK
BI		UNK		UNK
ihAM		UNK		pl
Aez		sg		sg
,		UNK		UNK
_NULL_		UNK		sg
apane		any		any
hamasaPara		sg		sg
ka		UNK		UNK
lie		UNK		UNK
tyUlipa		sg		sg
ka		sg		UNK
upahAra		sg		sg
KZarIxe		any		sg
na		UNK		UNK
BUlihA		sg		sg
.		UNK		UNK
yaxi		UNK		UNK
Apa		sg		sg
i		sg		UNK
ukwi		sg		sg
para		UNK		UNK
viSvAsa		sg		sg
karelA		sg		sg
wa		UNK		UNK
kostara		sg		sg
dAyamaMda		sg		sg
ka		sg		UNK
cakkara		sg		any
jarUra		UNK		any
lagAiegA		sg		sg
.		UNK		UNK
ihAM		UNK		UNK
anagaDZa		any		any
hIroM		pl		pl
ka		UNK		UNK
behaxa		any		sg
KUbasUrawI		sg		sg
ka		UNK		UNK
sAWa		sg		sg
warASA		sg		sg
jAlA		sg		sg
.		UNK		UNK
bAzXavagaDZa		sg		sg
ka		UNK		UNK
aMxara		sg		sg
banala		sg		sg
prAcIna		any		sg
kilA		sg		sg
BI		UNK		UNK
xeKe		any		sg
yogya		any		sg
bA		sg		sg
.		UNK		UNK
purAwawva		sg		sg
vewwAoM		pl		pl
ka		UNK		UNK
anusAra		UNK		UNK
i		sg		UNK
kilA		sg		sg
lagaBaga		UNK		UNK
2000		any		any
sAla		pl		sg
purAnA		sg		sg
bA		sg		sg
.		UNK		UNK
i		sg		UNK
kilA		sg		sg
ka		sg		UNK
ulleKa		sg		sg
Siva		sg		sg
purANa		sg		sg
se		UNK		UNK
lekara		UNK		any
nAraxa		sg		sg
paMca		sg		sg
rawnA		sg		sg
waka		UNK		UNK
meM		UNK		UNK
AvalA		sg		sg
.		UNK		UNK
kilA		sg		sg
ka		UNK		UNK
Upara		sg		sg
kaI		UNK		UNK
saxiyoM		pl		pl
waka		UNK		UNK
alaga		any		any
-		UNK		UNK
alaga		any		any
rAjaGarAnA		pl		sg
rAja		sg		sg
kainA		sg		sg
.		UNK		UNK
jinameM		pl		sg
se		UNK		UNK
magaXa		sg		sg
,		UNK		UNK
kalcurI		sg		sg
Ora		UNK		UNK
vikramAxiwya		sg		sg
siMGa		sg		sg
ka		pl		UNK
rAjaGarAne		pl		sg
pramuKa		any		sg
bA		pl		sg
.		UNK		UNK
Aja		sg		sg
kilA		sg		sg
ka		sg		UNK
BagnAvaSeRa		sg		any
svarUpa		sg		sg
hI		UNK		UNK
SeRa		any		sg
bA		sg		sg
.		UNK		UNK
lekina		UNK		UNK
ihAM		UNK		pl
ka		pl		UNK
purAnI		pl		any
xIvAroM		pl		pl
meM		UNK		UNK
iwihAsa		sg		sg
ka		pl		UNK
kaI		UNK		UNK
rAja		pl		sg
kExa		sg		sg
bA		pl		sg
.		UNK		UNK
kaba		UNK		sg
jAi		any		sg
?		UNK		UNK
bAzXavagaDZa		sg		sg
jAe		sg		sg
ka		sg		UNK
sahI		any		any
mOsama		sg		sg
ParavarI		sg		sg
se		UNK		UNK
jUna		sg		sg
mAha		sg		sg
waka		UNK		UNK
bA		sg		sg
.		UNK		UNK
vEse		UNK		UNK
TaMda		sg		sg
ka		pl		UNK
xina		pl		sg
meM		UNK		UNK
vAilda		any		sg
lAiPa		sg		sg
jyAxA		UNK		UNK
KUbasUrawa		any		any
lagalA		sg		sg
.		UNK		UNK
mAnasUna		sg		sg
ka		UNK		UNK
kAraNa		UNK		sg
pArka		sg		sg
ka		UNK		UNK
1		sg		sg
julAI		sg		sg
se		UNK		UNK
30		sg		sg
siwaMbara		sg		sg
waka		UNK		UNK
baMxa		any		any
kara		sg		sg
xevala		sg		sg
gaila		sg		sg
.		UNK		UNK
kEse		UNK		UNK
jAi		any		sg
?		UNK		UNK
Apa		sg		sg
plena		sg		sg
,		UNK		UNK
rela		sg		sg
yA		UNK		UNK
sadZaka		sg		sg
mArga		sg		sg
,		UNK		UNK
jisase		sg		sg
cAhe		UNK		pl
jA		sg		any
sakelA		sg		sg
.		UNK		UNK
ihAM		UNK		pl
ka		sg		UNK
sabase		UNK		UNK
najaxIkI		any		any
eyaraporta		sg		sg
jabalapura		sg		sg
.		UNK		UNK
lekina		sg		UNK
Apa		sg		sg
KajurAho		UNK		sg
yA		sg		UNK
xillI		UNK		sg
se		UNK		UNK
ihAM		UNK		pl
ka		UNK		UNK
lie		sg		UNK
sIXI		sg		sg
PlAita		sg		sg
le		sg		sg
sakelA		UNK		sg
.		sg		UNK
ekare		UNK		sg
alAvA		sg		UNK
Apa		sg		sg
katanI		UNK		sg
,		sg		UNK
sawanA		UNK		sg
,		sg		UNK
jabalapura		UNK		sg
yA		sg		UNK
xeSa		sg		sg
ka		sg		UNK
kisI		UNK		sg
BI		sg		UNK
hissA		UNK		sg
se		UNK		UNK
ihAM		UNK		pl
ka		UNK		UNK
lie		sg		UNK
rela		UNK		sg
yA		sg		UNK
basa		sg		sg
suviXA		sg		sg
le		sg		sg
sakelA		UNK		sg
.		UNK		UNK
kahAz		any		UNK
TaharI		UNK		sg
?		UNK		UNK
ihAM		sg		pl
POYresta		sg		sg
ka		sg		UNK
hotala		UNK		sg
meM		sg		UNK
xo		UNK		any
se		any		UNK
wIna		any		any
hajAra		sg		any
rupae		UNK		sg
meM		any		UNK
baDZiyA		any		sg
eyarakUlda		UNK		sg
Ora		any		UNK
esI		pl		sg
rUma		any		sg
upalabXa		pl		sg
bA		UNK		sg
.		sg		UNK
jaMgala		UNK		sg
ka		sg		UNK
bIcoMbIca		pl		sg
bane		pl		sg
i		any		UNK
KUbasUrawa		sg		any
britiSa		any		sg
kAlIna		pl		any
Bavano		UNK		sg
meM		any		UNK
rahe		any		sg
eka		any		any
alaga		sg		any
anuBava		sg		sg
bA		UNK		sg
.		UNK		UNK
lekina		UNK		UNK
yaxi		sg		UNK
ApakA		sg		sg
bajata		UNK		sg
kama		sg		UNK
bA		UNK		sg
wa		sg		UNK
jaMgala		UNK		sg
ka		sg		UNK
bAhara		pl		sg
saswe		pl		sg
hotala		UNK		sg
Ora		pl		UNK
XarmaSAlAez		UNK		pl
BI		pl		UNK
bA		UNK		sg
.		UNK		UNK
ihAM		sg		UNK
Apa		any		sg
pAzca		any		any
hajAra		UNK		any
se		UNK		UNK
lekara		any		any
bIsa		any		sg
hajAra		sg		any
rupae		UNK		sg
meM		pl		UNK
acCI		pl		sg
CuttiyAz		sg		pl
biwA		sg		sg
sakalA		UNK		sg
.		sg		UNK
ihe		sg		sg
vajaha		sg		sg
bA		UNK		sg
ki		sg		UNK
jEsalamera		UNK		sg
ka		any		UNK
goldana		sg		sg
sitI		sg		sg
ka		sg		UNK
nAma		UNK		sg
se		UNK		UNK
BI		sg		UNK
jAnala		sg		sg
jAlA		sg		sg
hE		UNK		sg
.		sg		UNK
Sahara		sg		sg
iwanA		sg		sg
CotA		sg		sg
kRewra		UNK		sg
meM		sg		UNK
Pailala		sg		sg
bA		UNK		sg
ki		pl		UNK
sElAnI		UNK		sg
ihAM		any		UNK
pExala		pl		sg
GUmawe		pl		sg
hue		sg		sg
maruBUmi		sg		sg
ka		sg		UNK
i		sg		UNK
sunaharA		sg		sg
mukuta		UNK		sg
ka		pl		UNK
nihAra		pl		sg
sakelA		UNK		sg
.		sg		UNK
mAnala		sg		sg
jAlA		UNK		sg
ki		sg		UNK
jEsalamera		sg		sg
ka		sg		UNK
sWApanA		any		sg
BAtI		sg		sg
rAjapUwa		UNK		sg
,		sg		UNK
rAva		sg		sg
jEsala		sg		sg
12vIM		sg		sg
SawAbxI		UNK		sg
meM		sg		UNK
kainA		UNK		sg
.		sg		UNK
iwihAsa		sg		sg
ka		sg		UNK
xqRti		UNK		sg
se		any		UNK
xeKA		UNK		sg
wa		sg		UNK
jEsalamera		sg		sg
Sahara		UNK		sg
para		sg		UNK
KilajI		UNK		sg
,		sg		UNK
rATOra		UNK		sg
,		sg		UNK
mugala		UNK		sg
,		UNK		UNK
_NULL_		sg		sg
wugalaka		UNK		sg
Axi		UNK		UNK
ne		UNK		UNK
kaI		pl		UNK
bAra		pl		sg
AkramaNa		sg		sg
kiyA		UNK		sg
.		sg		UNK
ekarA		UNK		sg
bAvajUxa		sg		UNK
jEsalamera		pl		sg
ka		any		UNK
SAhI		pl		sg
Bavana		sg		sg
rAjapUwa		sg		sg
SElI		pl		sg
ka		pl		UNK
saccA		pl		sg
xyowaka		pl		sg
bA		UNK		sg
.		sg		UNK
skOYtalEMda		pl		sg
ka		any		UNK
KUbasUrawa		pl		any
kilA		UNK		sg
ka		sg		UNK
mAwa		sg		sg
xewa		sg		any
i		sg		UNK
kilA		sg		sg
ka		sg		UNK
nirmANa		sg		sg
BAtI		sg		sg
vaMSa		sg		sg
ka		sg		UNK
rANA		sg		sg
jEsala		sg		sg
1156		UNK		sg
meM		sg		UNK
kainA		UNK		sg
.		sg		UNK
baluA		pl		sg
pawWara		UNK		sg
se		sg		UNK
banala		sg		sg
i		any		UNK
Bavya		sg		sg
kilA		UNK		sg
meM		any		UNK
99		pl		any
burja		pl		sg
banala		pl		sg
bA		UNK		sg
.		sg		UNK
kilA		pl		sg
ka		any		UNK
cAra		sg		any
praveSa		pl		sg
xvAra		pl		sg
bA		UNK		sg
,		pl		UNK
jeke		sg		sg
gaNeSa		sg		sg
pola		UNK		sg
,		sg		UNK
sUraja		sg		sg
pola		UNK		sg
,		sg		UNK
BUwa		sg		sg
pola		UNK		sg
Aura		sg		sg
havA		sg		sg
pola		sg		sg
ka		sg		UNK
nAma		UNK		sg
se		sg		UNK
jAnala		sg		sg
jAlA		UNK		sg
.		sg		UNK
i		sg		UNK
kilA		any		sg
rAjapUwI		sg		sg
sWApawya		sg		sg
kalA		sg		sg
ka		any		UNK
bejodZa		sg		sg
namUnA		sg		sg
bA		UNK		sg
.		sg		UNK
purAne		sg		sg
samaya		pl		sg
ka		any		UNK
KUbasUrawa		UNK		any
Aura		pl		sg
badZe		pl		sg
Bavana		UNK		sg
ka		pl		UNK
haveliyoM		sg		pl
ka		sg		UNK
nAma		UNK		sg
se		sg		UNK
pahacAnala		sg		sg
jAlA		UNK		sg
.		sg		UNK
jEsalamera		UNK		sg
meM		any		UNK
aisana		UNK		sg
kaI		pl		UNK
haveliyAz		pl		pl
bA		UNK		sg
.		pl		UNK
inameM		UNK		sg
se		pl		UNK
kuCa		any		UNK
200		pl		any
sAloM		UNK		pl
se		UNK		UNK
jyAxA		pl		UNK
purAnA		pl		sg
bA		UNK		sg
,		UNK		UNK
lekina		pl		UNK
iwanA		pl		sg
purAnA		sg		sg
hoe		UNK		sg
ka		sg		UNK
bAxa		UNK		sg
BI		pl		UNK
ekara		sg		any
camaka		any		any
xeKala		UNK		sg
lAyaka		sg		sg
bA		UNK		sg
.		sg		UNK
uwwara		sg		sg
praxeSa		UNK		sg
meM		any		UNK
GarelU		UNK		sg
va(aura)		any		sg
vixeSI		pl		any
paryatakoM		sg		pl
kI(ke)		sg		sg
saMKyA		UNK		sg
meM		UNK		UNK
ke		sg		UNK
bAvajUxa		sg		UNK
rAjya		sg		sg
sarakAra		pl		sg
paryatana		UNK		sg
yojanAvana		UNK		sg
ke		any		UNK
prawi		UNK		UNK
gaMBIra		UNK		any
nahIM(naiKe)		any		sg
.		sg		UNK
keMxrIya		sg		any
paryatana		sg		sg
maMwrAlaya		any		sg
kA		sg		sg
mAnala		UNK		sg
ha		sg		any
ki		UNK		UNK
rAjya		sg		sg
meM		pl		UNK
paryatana		UNK		sg
ke		pl		UNK
kAPI		pl		UNK
saMBAvanA		UNK		sg
bA		pl		sg
.		sg		UNK
jagahana		any		sg
ke		pl		sg
pahacAna		any		sg
kara		any		any
unake		UNK		sg
vikasiwa		sg		any
kare		any		sg
KAwira		sg		UNK
keMxra		UNK		sg
ArWika		any		any
sahAyawA		UNK		sg
BI		any		UNK
xeve		sg		sg
KAwira		UNK		UNK
wEyAra		UNK		sg
bA		pl		sg
.		UNK		UNK
lekina		UNK		UNK
koSiSana		sg		sg
ke		sg		UNK
bAvajUxa		sg		UNK
rAjya		sg		sg
sarakAra		UNK		sg
ke		sg		sg
waraPa		UNK		sg
se		UNK		UNK
eha		sg		sg
bAre		sg		UNK
meM		any		UNK
kOno		UNK		UNK
praswAva		sg		sg
prApwa		sg		any
nAhIM		UNK		UNK
Baila		pl		sg
ha		UNK		any
.		UNK		UNK
AMkadoM		UNK		pl
ke		sg		UNK
muwAbika		sg		UNK
,		UNK		UNK
varRa		sg		sg
2002		UNK		sg
meM		pl		UNK
rAjya		pl		sg
meM		any		UNK
Aye		pl		sg
vAlana		sg		sg
vixeSI		sg		any
paryatakana		any		sg
ke		any		sg
saMKyA		sg		sg
sAwa		UNK		any
lAKa		sg		any
rahe		sg		sg
.		UNK		UNK
u		any		any
2004		any		sg
meM		any		UNK
baDZakara		UNK		any
nava		sg		sg
lAKa		sg		any
waka		UNK		UNK
jA		sg		any
pahuMcI		UNK		sg
.		sg		UNK
ekare		sg		sg
bAvajUxa		sg		UNK
rAjya		sg		sg
sarakAra		UNK		sg
ye		any		sg
mAmalA		any		sg
